region_id,municipality,county,state
28,ABBOTTSTOWN,ADAMS,PA
381,ARENDTSVILLE,ADAMS,PA
2573,ASPERS,ADAMS,PA
262,BENDERSVILLE,ADAMS,PA
25,BERWICK,ADAMS,PA
280,BIGLERVILLE,ADAMS,PA
208,BONNEAUVILLE,ADAMS,PA
265,BUTLER,ADAMS,PA
631,CARROLL VALLEY,ADAMS,PA
1543,CONEWAGO,ADAMS,PA
400,CUMBERLAND,ADAMS,PA
181,EAST BERLIN,ADAMS,PA
630,FAIRFIELD,ADAMS,PA
2574,FAYETTEVILLE,ADAMS,PA
502,FRANKLIN,ADAMS,PA
505,FREEDOM,ADAMS,PA
371,GERMANY,ADAMS,PA
45,GETTYSBURG,ADAMS,PA
471,HAMILTON,ADAMS,PA
474,HAMILTONBAN,ADAMS,PA
730,HIGHLAND,ADAMS,PA
677,HUNTINGTON,ADAMS,PA
38,LATIMORE,ADAMS,PA
643,LIBERTY,ADAMS,PA
73,LITTLESTOWN,ADAMS,PA
76,MCSHERRYSTOWN,ADAMS,PA
553,MENALLEN,ADAMS,PA
555,MOUNT JOY,ADAMS,PA
584,MOUNT PLEASANT,ADAMS,PA
91,NEW OXFORD,ADAMS,PA
276,OXFORD,ADAMS,PA
394,READING,ADAMS,PA
368,STRABAN,ADAMS,PA
697,TYRONE,ADAMS,PA
737,UNION,ADAMS,PA
581,YORK SPRINGS,ADAMS,PA
606,ALEPPO,ALLEGHENY,PA
232,ASPINWALL,ALLEGHENY,PA
587,AVALON,ALLEGHENY,PA
550,BALDWIN,ALLEGHENY,PA
349,BALDWIN,ALLEGHENY,PA
2485,BELL ACRES,ALLEGHENY,PA
378,BELLEVUE,ALLEGHENY,PA
627,BEN AVON,ALLEGHENY,PA
675,BEN AVON HEIGHTS,ALLEGHENY,PA
141,BETHEL PARK,ALLEGHENY,PA
256,BLAWNOX,ALLEGHENY,PA
128,BRACKENRIDGE,ALLEGHENY,PA
646,BRADDOCK,ALLEGHENY,PA
532,BRADDOCK HILLS,ALLEGHENY,PA
578,BRADFORD WOODS,ALLEGHENY,PA
478,BRENTWOOD,ALLEGHENY,PA
88,BRIDGEVILLE,ALLEGHENY,PA
30,CARNEGIE,ALLEGHENY,PA
1957,CASTLE SHANNON,ALLEGHENY,PA
101,CHALFANT,ALLEGHENY,PA
641,CHESWICK,ALLEGHENY,PA
595,CHURCHILL,ALLEGHENY,PA
545,CLAIRTON,ALLEGHENY,PA
2316,COLLIER,ALLEGHENY,PA
622,CORAOPOLIS,ALLEGHENY,PA
137,CRAFTON,ALLEGHENY,PA
466,CRESCENT,ALLEGHENY,PA
626,DORMONT,ALLEGHENY,PA
1638,DRAVOSBURG,ALLEGHENY,PA
493,DUQUESNE,ALLEGHENY,PA
1435,EAST DEER,ALLEGHENY,PA
506,EAST MCKEESPORT,ALLEGHENY,PA
594,EAST PITTSBURGH,ALLEGHENY,PA
459,EDGEWOOD,ALLEGHENY,PA
5,EDGEWORTH,ALLEGHENY,PA
7,ELIZABETH,ALLEGHENY,PA
857,ELIZABETH,ALLEGHENY,PA
10,EMSWORTH,ALLEGHENY,PA
415,ETNA,ALLEGHENY,PA
722,FAWN,ALLEGHENY,PA
1242,FINDLAY,ALLEGHENY,PA
83,FOREST HILLS,ALLEGHENY,PA
1282,FORWARD,ALLEGHENY,PA
29,FOX CHAPEL,ALLEGHENY,PA
973,FRANKLIN PARK,ALLEGHENY,PA
1428,FRAZER,ALLEGHENY,PA
499,GLASSPORT,ALLEGHENY,PA
1100,GLEN OSBORNE,ALLEGHENY,PA
738,GLENFIELD,ALLEGHENY,PA
44,GREEN TREE,ALLEGHENY,PA
1430,HAMPTON,ALLEGHENY,PA
12,HARMAR,ALLEGHENY,PA
78,HARRISON,ALLEGHENY,PA
445,HAYSVILLE,ALLEGHENY,PA
281,HEIDELBERG,ALLEGHENY,PA
13,HOMESTEAD,ALLEGHENY,PA
1051,INDIANA,ALLEGHENY,PA
16,INGRAM,ALLEGHENY,PA
1237,JEFFERSON HILLS,ALLEGHENY,PA
98,KENNEDY,ALLEGHENY,PA
448,KILBUCK,ALLEGHENY,PA
846,LEET,ALLEGHENY,PA
975,LEETSDALE,ALLEGHENY,PA
1706,LIBERTY,ALLEGHENY,PA
893,LINCOLN,ALLEGHENY,PA
650,MARSHALL,ALLEGHENY,PA
384,MCCANDLESS,ALLEGHENY,PA
1095,MCDONALD,ALLEGHENY,PA
172,MCKEES ROCKS,ALLEGHENY,PA
585,MCKEESPORT,ALLEGHENY,PA
1342,MILLVALE,ALLEGHENY,PA
687,MONROEVILLE,ALLEGHENY,PA
92,MOON,ALLEGHENY,PA
210,MT LEBANON,ALLEGHENY,PA
1874,MT OLIVER,ALLEGHENY,PA
2108,MUNHALL,ALLEGHENY,PA
2575,NATRONA HEIGHTS,ALLEGHENY,PA
464,NEVILLE,ALLEGHENY,PA
2384,NORTH BRADDOCK,ALLEGHENY,PA
213,NORTH FAYETTE,ALLEGHENY,PA
487,NORTH VERSAILLES,ALLEGHENY,PA
2086,OAKDALE,ALLEGHENY,PA
1347,OAKMONT,ALLEGHENY,PA
2268,OHARA,ALLEGHENY,PA
1490,OHIO,ALLEGHENY,PA
2271,PENN HILLS,ALLEGHENY,PA
1041,PENNSBURY VILLAGE,ALLEGHENY,PA
986,PINE,ALLEGHENY,PA
1916,PITCAIRN,ALLEGHENY,PA
591,PITTSBURGH,ALLEGHENY,PA
2109,PLEASANT HILLS,ALLEGHENY,PA
840,PLUM,ALLEGHENY,PA
879,PORT VUE,ALLEGHENY,PA
1894,RANKIN,ALLEGHENY,PA
570,RESERVE,ALLEGHENY,PA
1121,RICHLAND,ALLEGHENY,PA
878,ROBINSON,ALLEGHENY,PA
548,ROSS,ALLEGHENY,PA
1840,ROSSLYN FARMS,ALLEGHENY,PA
302,SCOTT,ALLEGHENY,PA
882,SEWICKLEY,ALLEGHENY,PA
1349,SEWICKLEY HEIGHTS,ALLEGHENY,PA
2350,SEWICKLEY HILLS,ALLEGHENY,PA
220,SHALER,ALLEGHENY,PA
1300,SHARPSBURG,ALLEGHENY,PA
4,SOUTH FAYETTE,ALLEGHENY,PA
180,SOUTH PARK,ALLEGHENY,PA
680,SOUTH VERSAILLES,ALLEGHENY,PA
1303,SPRINGDALE,ALLEGHENY,PA
20,SPRINGDALE,ALLEGHENY,PA
411,STOWE,ALLEGHENY,PA
889,SWISSVALE,ALLEGHENY,PA
1893,TARENTUM,ALLEGHENY,PA
1875,THORNBURG,ALLEGHENY,PA
436,TRAFFORD,ALLEGHENY,PA
1096,TURTLE CREEK,ALLEGHENY,PA
649,UPPER ST CLAIR,ALLEGHENY,PA
1562,VERONA,ALLEGHENY,PA
1565,VERSAILLES,ALLEGHENY,PA
1298,WALL,ALLEGHENY,PA
34,WEST DEER,ALLEGHENY,PA
2369,WEST ELIZABETH,ALLEGHENY,PA
2126,WEST HOMESTEAD,ALLEGHENY,PA
2129,WEST MIFFLIN,ALLEGHENY,PA
1798,WEST VIEW,ALLEGHENY,PA
1942,WHITAKER,ALLEGHENY,PA
1676,WHITE OAK,ALLEGHENY,PA
1673,WHITEHALL,ALLEGHENY,PA
40,WILKINS,ALLEGHENY,PA
1546,WILKINSBURG,ALLEGHENY,PA
1472,WILMERDING,ALLEGHENY,PA
2322,APOLLO,ARMSTRONG,PA
2376,APPLEWOLD,ARMSTRONG,PA
1380,ATWOOD,ARMSTRONG,PA
1045,BETHEL,ARMSTRONG,PA
1959,BOGGS,ARMSTRONG,PA
2102,BRADYS BEND,ARMSTRONG,PA
2265,BURRELL,ARMSTRONG,PA
1641,CADOGAN,ARMSTRONG,PA
2366,COWANSHANNOCK,ARMSTRONG,PA
1899,DAYTON,ARMSTRONG,PA
2576,DISTANT,ARMSTRONG,PA
1534,EAST FRANKLIN,ARMSTRONG,PA
1902,ELDERTON,ARMSTRONG,PA
1843,FORD CITY,ARMSTRONG,PA
1963,FORD CLIFF,ARMSTRONG,PA
2131,FREEPORT,ARMSTRONG,PA
1515,GILPIN,ARMSTRONG,PA
1106,HOVEY,ARMSTRONG,PA
1351,KISKIMINETAS,ARMSTRONG,PA
2374,KITTANNING,ARMSTRONG,PA
805,LEECHBURG,ARMSTRONG,PA
1284,MADISON,ARMSTRONG,PA
1712,MAHONING,ARMSTRONG,PA
907,MANOR,ARMSTRONG,PA
1075,MANORVILLE,ARMSTRONG,PA
1114,NORTH APOLLO,ARMSTRONG,PA
808,NORTH BUFFALO,ARMSTRONG,PA
